patch,lag_start,lag_end,attention
1,116,120,0.028811240568757057
2,111,115,0.032365620136260986
3,106,110,0.03774242848157883
4,101,105,0.05501972883939743
5,96,100,0.031027117744088173
6,91,95,0.05465298891067505
7,86,90,0.03879312425851822
8,81,85,0.061538614332675934
9,76,80,0.039792969822883606
10,71,75,0.04131172224879265
11,66,70,0.02992873825132847
12,61,65,0.04122147709131241
13,56,60,0.04867701604962349
14,51,55,0.033472731709480286
15,46,50,0.04467238858342171
16,41,45,0.03762267902493477
17,36,40,0.036811571568250656
18,31,35,0.05436002090573311
19,26,30,0.0488138310611248
20,21,25,0.0337812639772892
21,16,20,0.03296680003404617
22,11,15,0.05593864619731903
23,6,10,0.034255340695381165
24,1,5,0.04642200842499733
